"DATE","TIME PERIOD","Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT)"
"2022-03-14","14 Mar 2022","56222"
"2022-03-15","15 Mar 2022","58829"
"2022-03-16","16 Mar 2022","57659"
"2022-03-17","17 Mar 2022","55349"
"2022-03-18","18 Mar 2022","58552"
"2022-03-21","21 Mar 2022","59267"
"2022-03-22","22 Mar 2022","55017"
"2022-03-23","23 Mar 2022","53456"
"2022-03-24","24 Mar 2022","51984"
"2022-03-25","25 Mar 2022","49459"
"2022-03-28","28 Mar 2022","51272"
"2022-03-29","29 Mar 2022","50828"
"2022-03-30","30 Mar 2022","48039"
"2022-03-31","31 Mar 2022","49246"
"2022-04-01","01 Apr 2022","47352"
"2022-04-04","04 Apr 2022","53551"
"2022-04-05","05 Apr 2022","50523"
"2022-04-06","06 Apr 2022","50236"
"2022-04-07","07 Apr 2022","46296"
"2022-04-08","08 Apr 2022","47007"
"2022-04-11","11 Apr 2022","51375"
"2022-04-12","12 Apr 2022","49164"
"2022-04-13","13 Apr 2022","48787"
"2022-04-14","14 Apr 2022","49464"
"2022-04-19","19 Apr 2022","56421"
"2022-04-20","20 Apr 2022","52926"
"2022-04-21","21 Apr 2022","52801"
"2022-04-22","22 Apr 2022","52795"
"2022-04-25","25 Apr 2022","54530"
"2022-04-26","26 Apr 2022","54528"
"2022-04-27","27 Apr 2022","52664"
"2022-04-28","28 Apr 2022","50131"
